,Actors
1571,Mick Foley
1572,Jessica Walter
1573,Adam Sandler
1574,Tannishtha Chatterjee
1575,Kris Kristofferson
1576,Leonid Yarmolnik
1577,Chris Klein
1578,Garret Dillahunt
1579,Georges MÃ©liÃ¨s
1580,Oliver Masucci
1581,Anthony Michael Hall
1582,Michael Carbonaro
1583,Embeth Davidtz
1584,YÄ±lmaz ErdoÄŸan
1585,Max Thieriot
1586,Alexandra Meierhans
1587,Zero Mostel
1588,David Morse
1589,William Powell
1590,Kathryn McCormick
1591,Clovis Cornillac
1592,Felicia Pearson
1593,Adam Driver
1594,Alain Chabat
1595,Bill Paxton
1596,Ekaterina Vilkova
1597,Abhishek Bachchan
1598,Gael GarcÃ_a Bernal
1599,Mary Fuller
1600,Emily Bergl
1601,Danny Kaye
1602,Joseph Kaiser
1603,Sergey Gorobchenko
1604,Phil Harris
1605,Mariya Aronova
1606,Patton Oswalt
1607,David Attenborough
1608,Andreas Lust
1609,Kit Harington
1610,Paul Bettany
1611,Steve Agee
1612,Desmond Harrington
1613,Lee Evans
1614,Patrick J. Adams
1615,Victor McLaglen
1616,Kim Basinger
1617,Ben Affleck
1618,Annette Bening
1619,Frankie Muniz
1620,Christine Cavanaugh
1621,Layla Olwy
1622,Jim Dine
1623,Deepika Padukone
1624,Angelica Lee
1625,Brie Larson
1626,Farhan Akhtar
1627,Leonor Watling
1628,Angela Redman
1629,Christopher George
1630,Mariel Hemingway
1631,Philip Baker Hall
1632,Carter Jenkins
1633,Emily Browning
1634,Jason Segel
1635,Pat Boone
1636,Freida Pinto
1637,Asia Argento
1638,Claire Holt
1639,Scott Glenn
1640,Myles Berkowitz
1641,Shane Dawson
1642,Cyrielle Clair
1643,LL Cool J
1644,Stephen Chow
1645,Rachel Dratch
1646,Jean Reno
1647,Jon Heder
1648,Helena BergstrÃ¶m
1649,"""Chris ODonnell"""
1650,Woody Harrelson
1651,June Allyson
1652,Dirk Bogarde
1653,Valerie Red-Horse
1654,Omar Epps
1655,Luke Kirby
1656,Paul Ben-Victor
1657,Alev UÃ§arer
1658,William Kerwin
1659,Stanley Baker
1660,Al Pacino
1661,Jonah Bobo
1662,Craig Bierko
1663,Paget Brewster
1664,Kevin Costner
1665,John Krasinski
1666,Gila Almagor
1667,Roselyn SÃ¡nchez
1668,Deborra-Lee Furness
1669,Sumi Shimamoto
1670,Otto Jespersen
1671,Renee Leblanc
1672,John Mellencamp
1673,Lance Bass
1674,Dwayne Johnson
1675,Ha Jung-woo
1676,Zuhab Khan
1677,Stephen Moyer
1678,Nikki Reed
1679,Carlo Cecchi
1680,Gina Lollobrigida
1681,Harriet Owen
1682,D. David Morin
1683,Gloria Jean
1684,Larry David
1685,Haley Bennett
1686,Taraji P. Henson
1687,"""Dinesh DSouza"""
1688,Frank Whaley
1689,Paul Stevens
1690,Dane Cook
1691,Shiney Ahuja
1692,Sonu Sood
1693,Tom Laughlin
1694,Jamel Debbouze
1695,Spike Lee
1696,Chyler Leigh
1697,Giuseppe Andrews
1698,Sullivan Stapleton
1699,Jeffrey Chyau
1700,"""Brian OHalloran"""
1701,Brenda Vaccaro
1702,Amy Brenneman
1703,Hilary Swank
1704,Ryan Gosling
1705,Ingrid Bergman
1706,Vyacheslav Krikunov
1707,Jami Gertz
1708,AdÃ¨le Exarchopoulos
1709,Joyce Taylor
1710,RenÃ©e Zellweger
1711,Heath Ledger
1712,Lainie Kazan
1713,Jason Biggs
1714,Jay Chandrasekhar
1715,Leslie Nielsen
1716,Ryan Cartwright
1717,Ronald Colman
1718,Oksana Akinshina
1719,Lukas Haas
1720,"""Wilbur Hi-Fi White"""
1721,Lloyd Bridges
1722,Aleksey Chadov
1723,Sam Worthington
1724,Linda de Mol
1725,Carlo Ferrante
1726,Anthony Hopkins
1727,Brenda Myers-Powell
1728,Danny Aiello
1729,LisaRaye McCoy
1730,Fredric March
1731,Kevin Dillon
1732,Chen Kun
1733,Hal Holbrook
1734,Julia Roberts
1735,Tom Cavanagh
1736,"""Emily Roya OBrien"""
1737,Peter Ustinov
1738,Howard Stern
1739,Dianna Agron
1740,Mats Ã…hlfeldt
1741,Ross Partridge
1742,John Goodman
1743,Madhavan
1744,Steve Sandvoss
1745,Robin Shou
1746,Jesse Bradford
1747,Sridevi Kapoor
1748,Paige Turco
1749,Lily Tomlin
1750,Sudeep
1751,Dev Patel
1752,Janeane Garofalo
1753,John Candy
1754,Edward Burns
1755,Guy Pearce
1756,Heikki Silvennoinen
1757,Willem Dafoe
1758,Corinna Harfouch
1759,Felicity Mason
1760,Ian Holm
1761,Angus Macfadyen
1762,Kal Penn
1763,TarÄ±k Akan
1764,Priyanka Chopra
1765,Mark Addy
1766,Aziz Naser
1767,Andrew McCarthy
1768,Monica Engesser
1769,Natalie Wood
1770,Klaus Maria Brandauer
1771,Santiago Segura
1772,Teo Halm
1773,Jean-Pierre Darroussin
1774,Harry Connick Jr.
1775,Columbus Short
1776,Red Skelton
1777,Nick P. Ross
1778,BÃ¡rbara Lombardo
1779,Michael Madsen
1780,Graham Chapman
1781,Jon Hamm
1782,David Hewlett
1783,Helen Hayes
1784,James Cagney
1785,Siddhi Mahajankatti
1786,Ben Foster
1787,John Huston
1788,Janet Jackson
1789,Nigel Havers
1790,Leonardo DiCaprio
1791,Macaulay Culkin
1792,James Caan
1793,Obba BabatundÃ©
1794,Rain
1795,Clara Bow
1796,Emile Hirsch
1797,Tim Ogletree
1798,Matthew Modine
1799,Bobby Driscoll
1800,Rosario Dawson
1801,Asta Nielsen
1802,Ronnie Barker
1803,Cindy Baer
1804,Kodi Smit-McPhee
1805,Ethan Hawke
1806,Giuliano Gemma
1807,Cassandra Delaney
1808,Rowan Atkinson
1809,Timothy Olyphant
1810,Bobcat Goldthwait
1811,Minka Kelly
1812,Noomi Rapace
1813,Coluche
1814,John Wayne
1815,Lauren German
1816,Sylvia Sidney
1817,Sebastian Cabot
1818,Pernille Vallentin
1819,Russell Crowe
1820,Michelle Pfeiffer
1821,Nikolaj Rasmussen
1822,Sam Waterston
1823,Robert Donat
1824,Jason London
1825,GÃ©za RÃ¶hrig
1826,Marc Blucas
1827,H.B. Halicki
1828,Isabelle Adjani
1829,Jim Carrey
1830,Toni Servillo
1831,Vittorio Gassman
1832,MarÃ_a Mercedes Coroy
1833,Penelope Ann Miller
1834,Emma Watson
1835,Robin Weigert
1836,Kenny Wormald
1837,Rooney Mara
1838,Aaron Abrams
1839,Walter Quiroz
1840,Evan Glodell
1841,James Wilby
1842,Julia Stiles
1843,RÃ©my Girard
1844,Daniel Schlachet
1845,Britney Spears
1846,Leo Minaya
1847,Ai Kobayashi
1848,Alberto Sordi
1849,Benicio del Toro
1850,James Nesbitt
1851,Franca Mai
1852,Bel Powley
1853,Napoleon Ryan
1854,Craig Conway
1855,BjÃ¶rk
1856,Tina Fey
1857,Sarah Butler
1858,Ray Winstone
1859,Bruce Ramsay
1860,Bruno Ganz
1861,Chiara Mastroianni
1862,Ali Zafar
1863,Jeremy Sumpter
1864,Cathy Rigby
1865,Stacy Valentine
1866,Jacob Tierney
1867,Oleg Kulikovich
1868,Rick Moranis
1869,Suriya 
1870,Martijn Lakemeier
1871,Bill Hader
1872,Nia Long
1873,Carmen Maura
1874,Bob Newhart
1875,Ryan Reynolds
1876,Irene Bedard
1877,Billy Bob Thornton
1878,Richard Roundtree
1879,Sean Hayes
1880,Abhay Deol
1881,Sam Neill
1882,Peter Mullan
1883,Laura Dern
1884,Pamela Gidley
1885,Samantha King
1886,Royalty Hightower
1887,Sandy Dennis
1888,James Cromwell
1889,Tadanobu Asano
1890,Jennifer Love Hewitt
1891,Blythe Auffarth
1892,Haley Joel Osment
1893,Nivin Pauly
1894,Tiger Shroff
1895,Sean Bean
1896,Mitch Gaylord
1897,Deborah Harry
1898,Scott Adsit
1899,Peter Cook
1900,Dina Meyer
1901,Mickey Rourke
1902,Dakota Johnson
1903,Joe Dallesandro
1904,Val Kilmer
1905,Toshiaki Karasawa
1906,Natalie Dormer
1907,JÃ_rgen Vogel
1908,Jackie Chan
1909,Alexander Siddig
1910,Patricia Arquette
1911,Hayden Panettiere
1912,Michael Bonsignore
1913,Lennie Loftin
1914,Richard E. Grant
1915,Hulk Hogan
1916,Teodor Corban
1917,Vildan Atasever
1918,Tupac Amaru Shakur
1919,Van Williams
1920,Robert Carlyle
1921,Eric Bana
1922,Alycia Debnam-Carey
1923,Jason Ritter
1924,John Cho
1925,Bruno Corazzari
1926,Kristen Wiig
1927,Joe Pesci
1928,Cynthia Nixon
1929,Laura Linney
1930,Matt Dillon
1931,Jack Huston
1932,Brenda Blethyn
1933,James Frecheville
1934,Jon Gries
1935,Andrei Panin
1936,Victor Wong
1937,Sigourney Weaver
1938,Courtney B. Vance
1939,Gregory Hines
1940,Judith Hoag
1941,Elio Germano
1942,Clayton Moore
1943,Deborah Kerr
1944,Elizabeth Reaser
1945,Boris Kodjoe
1946,Rod Paradot
1947,Sasha Grey
1948,Jason Sudeikis
1949,Anna Friel
1950,Maggie Smith
1951,Denzel Washington
1952,Helene Costello
1953,Juliette Binoche
1954,Greg Evigan
1955,Trevor Morgan
1956,Cillian Murphy
1957,Hugh Jackman
1958,Oliver Reed
1959,Cher
1960,Dennis Quaid
1961,Kate Beckinsale
1962,John Cleese
1963,Jess Weixler
1964,Simon Rex
1965,Craig T. Nelson
1966,Chris Rock
1967,Megan Fox
1968,Bobby Campo
1969,Jeanne Crain
1970,Greg Speirs
1971,AgustÃ_n Silva
1972,Jung Jae-young
1973,Breckin Meyer
1974,"""Shaquille ONeal"""
1975,Rebecca Hall
1976,Tiffany Dupont
1977,Idris Elba
1978,E.G. Daily
1979,James Arnold Taylor
1980,Roddy McDowall
1981,Vanessa Hessler
1982,Carroll Baker
1983,Jack Holt
1984,Piper Perabo
1985,Jennifer Aniston
1986,Marisa Coughlan
1987,James Marshall
1988,Lee Marvin
1989,Fahadh Faasil
1990,Rebecca De Mornay
1991,Stanislav Boklan
1992,Jake Johnson
1993,Noah Hathaway
1994,Resmine Atis
1995,Hiroyuki Ikeuchi
1996,Nicholas Blandullo
1997,_“__Ñ€_´_°__ ___¸Ñ‡_¸Ñ›
1998,Beau Bridges
1999,Charlotte Henry
2000,Camilla Belle
2001,David Boreanaz
2002,Igor Petrenko
2003,Murray Bartlett
2004,Jason James Richter
2005,Bruce Dern
2006,Brit Morgan
2007,Charles Bronson
2008,William Baldwin
2009,Jordan Ladd
2010,Jennifer Westfeldt
2011,Fionn Whitehead
2012,Takuya Kimura
2013,Cliff DeYoung
2014,May Clark
2015,Hayley Atwell
2016,Samuel L. Jackson
2017,Natalie Alyn Lind
2018,Diane Lane
2019,Michele Riondino
2020,Trevante Rhodes
2021,Alexander Nathan Etel
2022,"""Terry OQuinn"""
2023,Rupert Friend
2024,Bruce Payne
2025,Taylor Schilling
2026,Mark Frechette
2027,Geoffrey Rush
2028,Vincent Desagnat
2029,Kelly Macdonald
2030,Marco Leonardi
2031,Anton Shagin
2032,Andy Warhol
2033,Javier Bardem
2034,Viktor Mikhaylov
2035,BÃ©rÃ©nice Bejo
2036,Adelaide Clemens
2037,Scott Elrod
2038,Ellen Muth
2039,Cloris Leachman
2040,Nargess Mamizadeh
2041,Tom Kenny
2042,Sihung Lung
2043,Alfre Woodard
2044,"""Kieran OBrien"""
2045,Witney Carson
2046,Virginia Madsen
2047,Gabriel Byrne
2048,Bradford Dillman
2049,Sylvester Stallone
2050,Junichi Okada
2051,Michael Cera
2052,Jennifer Lawrence
2053,Baki Davrak
2054,Sergey Garmash
2055,Patrick Wayne
2056,Siddharth
2057,Gordon MacRae
2058,Adam Scott
2059,Madlen Dzhabrailova
2060,Vasily Stepanov
2061,Emily Blunt
2062,Birgitte Hjort SÃ¸rensen
2063,Scott Adkins
2064,Donald Austin
2065,Mitch Cohen
2066,James Marsden
2067,"""Rickey DShon Collins"""
2068,Michael B. Jordan
2069,Lasse Kolsrud
2070,Adrian Rawlins
2071,Ricardo Meneses
2072,Paul Newman
2073,"""Qorianka Kilcher"""
2074,Jason Patric
2075,Judy Marte
2076,Teresa Palmer
2077,Amanda Peet
2078,Thomas Kretschmann
2079,Matthew Goode
2080,Aleksey Filimonov
2081,Espen Edvartsen
2082,Michael Murphy
2083,Erin Fisher
2084,Ron Livingston
2085,Nicole de Boer
2086,Justin Timberlake
2087,Alan Arkin
2088,Norm Macdonald
2089,Jonathan Cherry
2090,Levi Miller
2091,Daryl Sabara
2092,Catherine Deneuve
2093,Judy Garland
2094,Kane Hodder
2095,Joe Morton
2096,Jennifer Rubin
2097,Stephen Baldwin
2098,Raquel Welch
2099,Todd Field
2100,John Savage
2101,"""Brendan OCarroll"""
2102,Lamberto Maggiorani
2103,Jeremy Piven
2104,Ivan Okhlobystin
2105,Raoul Bova
2106,Walter Pidgeon
2107,June Ayers
2108,David Suchet
2109,Nicoletta Braschi
2110,Sergey Shakurov
2111,Rider Strong
2112,MaÃ¯ Anh Le
2113,Jay Brazeau
2114,Frank Rautenbach
2115,Matt Johnson
2116,Louise Grinberg
2117,Presley Chweneyagae
2118,Joe Bishop
2119,Christopher Lloyd
2120,Masako Nozawa
2121,Valerio Mastandrea
2122,Garrett Hedlund
2123,Aaron Stanford
2124,Roman Wilhelmi
2125,William Brent
2126,Ben Silverstone
2127,Talia Zucker
2128,Brooke Shields
2129,Eminem
2130,Agniya Ditkovskite
2131,Ice Cube
2132,Ioan Gruffudd
2133,Zach Cregger
2134,Pat Morita
2135,Stephan James
2136,Carice van Houten
2137,Tommy Lee Jones
2138,Derek Hough
2139,Michael Rapaport
2140,Tony Goldwyn
2141,Ali MacGraw
2142,Haruhiko KatÃ´
2143,Joe Alwyn
2144,Paul Schneider
2145,Shirley MacLaine
2146,Ellen Burstyn
2147,Nancy Allen
2148,Warren Oates
2149,Gary Oldman
2150,Christopher Reid
2151,J. J. Feild
2152,Peter Paul
2153,Keira Knightley
2154,Danny Trejo
2155,Robin Bartlett
2156,Ben Gazzara
2157,Felicity Jones
2158,Ryosuke Watabe
2159,CÃ©cile de France
2160,ChloÃ« Grace Moretz
2161,Craig Wasson
2162,Chris Sarandon
2163,Yul Brynner
2164,Keri Russell
2165,DÃ©sirÃ©e Nosbusch
2166,Ajith Kumar
2167,Ed Helms
2168,Mick Partridge
2169,Alexander SkarsgÃ¥rd
2170,PenÃ©lope Cruz
2171,Jimmy Shergill
2172,Mohanlal
2173,Eli Marienthal
2174,Casper Van Dien
2175,Paul Kaye
2176,James Earl Jones
2177,Ken Takakura
2178,Melissa McCarthy
2179,Kate McNeil
2180,Michael Rennie
2181,Ricky Schroder
2182,Jim Caviezel
2183,Gene Kelly
2184,Piolo Pascual
2185,Mary Costa
2186,Pierce Brosnan
2187,Garance Marillier
2188,"""Dylan OBrien"""
2189,Rumer Willis
2190,Patrick Swayze
2191,Holly Hunter
2192,Christopher Reeve
2193,Richard Johnson
2194,Kevin Gage
2195,Jason Schwartzman
2196,Leonid Barats
2197,Chief Thundercloud
2198,Gene Tierney
2199,Dacre Montgomery
2200,Catherine Hicks
2201,Method Man
2202,Paula Patton
2203,David Emge
2204,Gary Busey
2205,Felicity Huffman
2206,Simon Chuckster
2207,David Dastmalchian
2208,Yang Ik-june
2209,Kristen Stewart
2210,Alec Baldwin
2211,Will Forte
2212,Anne-Marie Loop
2213,Harman Baweja
2214,Kinga Preis
2215,James Purefoy
2216,Tom Atkins
2217,Paul Gross
2218,Li Yu-Chun
2219,Eddie Garcia
2220,Pat Oâ€™Brien
2221,Jenna Dewan
2222,David Fandila
2223,Emily Deschanel
2224,James Karen
2225,Jim Cummings
2226,Shelley Hennig
2227,Tracey Ullman
2228,Jeff Speakman
2229,Priscilla C. Shirer
2230,Eddie Redmayne
2231,Kim Director
2232,Alden Ehrenreich
2233,Sydney Greenstreet
2234,Derek Luke
2235,Anupam Kher
2236,Patrick Macnee
2237,Cassidy Gifford
2238,Anne Dorval
2239,Liam Hemsworth
2240,Bruce Davison
2241,Simon Pegg
2242,Ben Browder
2243,Joel Courtney
2244,Liza Minnelli
2245,Juan JosÃ© Campanella
2246,Diane Kruger
2247,Dorothy Stratten
2248,AilÃ_n Salas
2249,Wang Baoqiang
2250,Christopher Toler
2251,Edie Falco
2252,Peter Cushing
2253,Patricia Tallman
2254,Guillaume Canet
2255,Daniel Wu
2256,James Blackwell
2257,Jurnee Smollett
2258,James Dean
2259,Anthony Anderson
2260,Marcello Mastroianni
2261,Adam Bousdoukos
2262,Tobias Menzies
2263,Tyler Perry
2264,Bai Baihe
2265,"""OShea Jackson Jr."""
2266,Christopher Severio
2267,Ray Romano
2268,Jennifer Lopez
2269,Rachel York
2270,Dylan McDermott
2271,Laura Ramsey
2272,Sergei Astahov
2273,Andy Rodoreda
2274,Michael Legge
2275,Sidney Poitier
2276,Ben Cross
2277,Kerwin Mathews
2278,Maggie Gyllenhaal
2279,Loreto Peralta
2280,Gene Barry
2281,Jeffrey Falcon
2282,Yusuke Iseya
2283,Fernanda Andrade
2284,Charlotte Roche
2285,James Corden
2286,Joey Lawrence
2287,Jodie Foster
2288,Ally Walker
2289,Rhona Mitra
2290,Sam Callis
2291,Lloyd Nolan
2292,Gabriel Damon
2293,Joanna David
2294,Thom Mathews
2295,Shahid Kapoor
2296,Ben Winchell
2297,Parker Stevenson
2298,Song Kang-ho
2299,Tom Felton
2300,Colin Friels
2301,Malin Ã…kerman
2302,Andrey Muravyov
2303,Alison Elliott
2304,Agata Trzebuchowska
2305,Clint Eastwood
2306,Allison Hayes
2307,Arch Hall Jr.
2308,Zhao Wei
2309,Jake T. Austin
2310,Miles Teller
2311,Richard Pryor
2312,Clive Owen
2313,N!xau
2314,Kseniya Rappoport
2315,Jeff Goldblum
2316,Eli Roth
2317,Marcell Nagy
2318,Barry Pepper
2319,Kathy Bates
2320,Brian Keith Allen
2321,Ari Folman
2322,Charlie Trairat
2323,Dana Carvey
2324,Akira Terao
2325,Kate Bosworth
2326,Elena Lyadova
2327,Dakota Blue Richards
2328,Graciela Borges
2329,Kofi Ghanaba
2330,Elle Fanning