directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Tony Liu Chun-Ku,36,0,0
István Szabó,36,18,44
Stuart Beattie,2,11,4
Stéphane Rybojad,3,0,0
Abdellatif Kechiche,8,40,61
Christian Robinson,1,0,0
Dan Cutforth,5,38,2
Lloyd Kaufman,54,7,8
João Pedro Rodrigues,17,39,31
Eric Bross,17,1,2
Hanna Sköld,4,7,2
Dax Shepard,6,2,0
Stiles White,1,0,0
Arnold Perl,1,5,2
Hwang Dong-hyuk,1,0,0
Tom McLoughlin,40,2,2
Lucile Hadzihalilovic,6,13,15
Mel Smith,6,1,1
Edmund Goulding,39,2,0
Lars von Trier,44,99,100
Doug Liman,23,7,2
William Friedkin,38,16,20
Andrew Jarecki,5,6,12
Bill Plympton,78,51,39
Gia Coppola,9,4,0
Don Sharp,38,0,0
Ben Stiller,18,59,13
Johan Grimonprez,12,1,7
Rupert Sanders,8,2,1
Michael McGowan,15,9,7
Chad Stahelski,7,4,0
Noah Buschel,7,3,3
Yoon Je-kyoon,1,0,0
Cody Cameron,1,0,0
Fernando Di Leo,23,0,0
Steve Pink,23,6,1
Brian De Palma,43,23,10
Jim Sheridan,13,50,37
J Blakeson,5,3,1
Will Koopman,34,4,5
Julian Jarrold,35,13,4
James Ponsoldt,16,8,4
Julien Duvivier,71,8,7
Eric Eason,3,5,7
Lauren Montgomery,14,0,0
Umberto Lenzi,65,0,0
Gilbert Adler,6,5,0
Joshua Michael Stern,5,0,0
Michael Pressman,62,5,3
Carlos Saldanha,12,15,4
Károly Makk,54,11,11
Rob Reiner,26,28,26
David Gleeson,5,3,4
Harry Beaumont,1,0,0
Abderrahmane Sissako,13,14,38
Inna Evlannikova,3,1,1
V. Z. Durai,41,2,2
Jorge Dorado,16,4,5
Lauren Lazin,23,16,5
Anand Tucker,16,6,2
Denis Villeneuve,17,78,74
Robby Henson,11,1,0
Michael Rowe,5,10,5
Chris Columbus,21,21,7
David Leland,13,4,8
Delphine Gleize,9,4,12
Lesli Linka Glatter,66,24,7
Jack Conway,113,1,2
"""Dean OFlaherty""",2,0,0
Wally Pfister,4,41,27
Zack Ward,4,1,2
Marek Kanievska,16,2,0
Paul Morrissey,25,5,1
Adam Green,25,6,9
Chatrichalerm Yukol,31,1,1
Nicole Garcia,10,20,7
Darren Stein,9,2,3
David Wain,30,10,7
Neill Blomkamp,26,36,13
Barbra Streisand,8,46,44
Simon Wells,7,4,0
Elaine May,5,15,9
Les Mayfield,10,3,3
Efrem Pruzhanskiy,14,0,0
Christopher Cain,22,2,1
Simon Brand,17,12,12
Shane Black,6,13,4
Jordan Peele,2,85,84
Michael Spierig,6,15,4
Kristian Levring,8,8,3
Lee Toland Krieger,15,1,2
Clive Donner,36,3,1
Sam Raimi,36,20,14
Steven E. de Souza,7,2,3
Jeremy Leven,2,0,0
Quentin Dupieux,10,13,5
Rachel Perkins,12,9,9
Spike Lee,82,78,53
Martin Ritt,30,13,4
Scott Waugh,5,1,1
Ross Katz,3,19,6
Jason Zada,6,3,3
John Lyde,42,0,0
"""Anthony OBrien""",2,3,3
Alexander Nevsky,1,0,0
Sara Newens,8,3,4
Julie Taymor,8,16,6
William Cameron Menzies,24,6,3
Sergio Castellitto,7,35,32
Ali Zafar,9,2,1
Ken Wiederhorn,12,1,1
Adam Sanderson,3,2,1
Andrea Di Stefano,2,0,0
Chris Sivertson,10,1,1
Kartal Tibet,58,0,0
Park Hoon-Jung,5,7,3
Tharun Bhascker Dhaassyam,4,1,3
Raymond Martino,17,0,0
Stephen T. Kay,30,3,0
Jeremy Haft,7,1,0
Andrew Currie,8,9,7
Eric Mendelsohn,3,13,4
Olaf de Fleur Johannesson,11,9,6
Richard LaGravenese,7,18,7
Max Adams,18,8,4
Eli Craig,5,1,7
Gordon Parks,9,2,2
Bruce Lee,4,2,2
Scott McGehee,6,11,2
Fred Zinnemann,47,40,38
Jeff Pollack,3,1,0
Luo Dong,1,0,0
Dick Powell,6,1,4
Peter Stebbings,11,10,1
Lowell Sherman,15,0,0
Darren Lynn Bousman,20,6,3
Lutz Dammbeck,20,1,1
Ryan Coogler,9,24,36
Jamie Blanks,6,2,2
Michael D. Akers,6,3,3
Bruce Hunt,1,0,0
Tay Garnett,76,2,2
Ramin Bahrani,17,15,19
Robert Stromberg,7,32,21
Britt Allcroft,3,1,3
Scott Alexander,2,9,8
Stacy Title,7,2,3
Kerry Conran,3,3,1
Ryuichi Takamori,41,0,0
Debra Granik,6,60,44
Alejandro Amenábar,12,37,56
Clive Gordon,10,1,2
Daniel Myrick,10,10,7
Stephen Chow,10,31,14
James Watkins,5,4,2
David Frankel,20,7,7
W.S. Van Dyke,91,4,3
David S. Goyer,7,12,6
Roger Nygard,19,6,4
Harish Saluja,1,1,1
Urban Gad,70,0,0
Fred Savage,67,16,13
Katja von Garnier,13,1,8
Andrew Dominik,8,12,7
Erik Gandini,8,8,11
Juan José Campanella,29,41,57
Rodney Bennett,32,3,0
Johnnie To,70,63,36
Tristan Patterson,4,2,2
Louis Malle,33,28,43
John Singleton,18,25,15
Armand Mastroianni,65,1,0
Tsui Hark,50,28,19
Shuhei Morita,9,2,1
Terence Young,41,1,1
Derek Lee,5,3,5
Joe Alves,1,2,3
Mikael Håfström,18,10,5
William Dieterle,89,5,3
Doug Bollinger,8,6,6
Farah Khan,4,16,27
James Whale,23,4,1
Gregor Jordan,20,8,5
Karyn Kusama,14,17,12
Victor Nunez,9,10,5
Jeethu Joseph,11,1,5
Stefen Fangmeier,1,17,9
Hideaki Anno,27,3,10
Shivajee Chandrabhushan,5,5,6
James Bobin,15,18,13
Edward L. Cahn,128,0,0
John Glen,12,1,1
James Komack,1,0,0
Kamal Sadanah,3,0,0
Patricia Martínez de Velasco,5,1,5
Wu Jing,4,10,3
David Hogan,4,1,1
Terrence Malick,15,55,43
Duane Adler,4,0,0
Santosh Sivan,20,8,21
John Carney,14,16,12
Richard Dutcher,10,4,4
Dustin Hoffman,2,53,63
Alice Wu,1,1,2
Will Finn,4,2,0
Saul Dibb,10,8,3
Lluís Quílez,6,5,13
Harish Shankar,6,1,0
Scott Silver,2,13,2
Billy Weber,1,13,4
Frank Miller,3,4,2
Lasse Hallström,70,17,18
Meiert Avis,89,3,0
Mimi Leder,43,13,5
Nettie Wild,7,1,11
Jane Campion,18,50,53
Joseph Ariola,5,0,0
Walter Murch,2,29,19
Michael J. Bassett,12,6,2
Philippe Diaz,9,2,2
Mike Leigh,23,108,82
Gregory Doran,12,0,0
John Schlesinger,31,18,28
Tony Goldwyn,20,3,2
Peter Care,51,2,2
Damiano Damiani,38,9,8
Chris Marker,62,2,13
Barbet Schroeder,24,16,9
Tod Williams,5,5,0
Jake Goldberger,3,1,0
Alain Jessua,10,5,6
Damian Harris,13,3,4
Geoff Burrowes,2,0,0
Audrey Dana,3,4,2
Travis Knight,2,22,7
Tarsem Singh,14,5,6
John Pogue,4,2,0
Larry Cohen,21,2,3
Jay Roach,16,16,10
Dennis Lee,3,1,5
Brad Furman,13,0,0
Paul King,15,7,6
John R. Leonetti,11,4,3
Tom Gries,68,8,4
David Mackenzie,17,41,23
Paul Greengrass,19,67,38
Fernando E. Solanas,21,22,36
Herbert Brenon,124,2,2
Raman Hui,9,5,2
Måns Mårlind,12,4,6
John Henderson,40,4,9
John Brahm,76,2,0
Frank Lin,7,3,3
Anusha Rizvi,1,2,1
Anna Foerster,10,2,1
Bong Joon-ho,14,49,49
Francesca Gregorini,4,1,1
Chris Miller,8,14,16
Dean Israelite,6,3,3
Douglas Trumbull,13,11,18
Thomas Bezucha,3,8,8
Jeremy Brock,4,14,7
John Lasseter,19,33,37
Jim Henson,37,31,42
Craig Brewer,12,4,7
Ben Lewin,19,10,8
Scott Dow,2,0,0
J.D. Dillard,7,3,0
Max Joseph,14,1,0
John Bruno,5,12,2
James Mangold,15,16,9
Walter Woodman,2,1,6
Jim Taihuttu,9,8,5
Ricardo de Montreuil,6,2,0
Jon Knautz,15,2,3
Jake Schreier,13,2,2
Susanna White,26,8,11
Paul Fenech,17,2,0
Adam Rapp,3,2,1
Dominik Moll,8,10,5
Prabhu Deva,16,5,4
Tony Giglio,8,0,0
Kirill Kuzin,6,1,0
Hal Hartley,35,9,10
"""Steve Spaz Williams""",2,2,1
Claude Chabrol,73,28,22
James Ivory,35,52,50
Charles Binamé,26,11,8
Alex Zamm,24,3,0
Steve Barron,85,10,11
Chris Atkins,8,1,0
Perry Andelin Blake,2,0,0
Gabriele Muccino,19,27,15
Caryn Waechter,9,4,1
Marisa Silver,7,1,1
Pedro Almodóvar,36,138,131
Joshua Marston,18,19,28
Masayuki Ochiai,26,1,1
Peter Chelsom,12,4,14
Jim McBride,21,4,3
Jordan Vogt-Roberts,18,6,4
Jeff Crook,6,0,0
Kevin Greutert,7,0,0
David Caffrey,19,5,4
A.R. Murugadoss,13,12,4
Risa Bramon Garcia,5,14,1
Hélène Giraud,3,3,5
Antonio Pietrangeli,13,7,7
Joanna Coates,4,1,1
Nikolai Müllerschön,33,0,0
Bill L. Norton,52,1,1
Toshiyuki Hiruma,20,0,0
Erich von Stroheim,12,2,4
Marshall Brickman,4,7,10
Jennifer Chambers Lynch,41,4,4
Kazuaki Kiriya,3,2,0
Gareth Evans,9,9,9
David O. Russell,13,100,48
Tony Scott,29,15,6
Lee Il-hyeong,1,3,0
Stefan Ruzowitzky,16,9,15
Phil Karlson,61,2,2
Diana Whitten,4,3,4
Patrice Leconte,42,37,17
James Wan,13,11,14
Craig McCracken,15,16,3
Neil Burger,10,5,4
Elia Kazan,21,28,36
Lewis Gilbert,42,9,9
Benson Lee,4,2,6
Justin Thomas Ostensen,3,1,0
Clive Barker,6,4,12
Jean-Paul Rappeneau,9,14,11
John Maybury,42,2,5
Logan Miller,1,2,2
Ribhu Dasgupta,4,1,0
Ulli Lommel,67,2,0
Tamra Davis,60,3,1
Robert Bierman,21,5,2
Bradley Rust Gray,8,11,6
Steven Quale,7,2,0
Ulu Grosbard,7,2,1
Sngmoo Lee,1,0,0
Henry Joost,18,4,1
Brian Grant,122,3,0
Richard Curtis,5,36,20
Blake Edwards,54,24,23
Phillip Noyce,60,10,24
Henry Koster,50,13,2
Dan Aykroyd,1,15,4
Rich Christiano,8,0,0
Scott Frank,5,31,14
Rachel Talalay,59,7,5
Aristomenis Tsirbas,16,3,13
John Lounsbery,5,1,1
Maurice Joyce,9,8,11
Yue Song,2,1,0
Allan Moyle,13,4,5
Spencer Susser,16,9,4
George Cukor,65,24,14
Andy Wilson,28,1,2
Rick de Oliveira,7,0,0
Paul Haggis,13,52,49
Michel O. Scott,3,1,0
Gregory Poirier,1,1,1
Gavin Hood,12,7,27
Gilles Paquet-Brenner,10,1,4
Erik White,36,0,0
Cary Bell,1,1,0
Omung Kumar,4,1,2
Michael Pate,1,1,3
Bejoy Nambiar,7,4,1
Vittorio De Sica,35,12,27
Jaume Collet-Serra,13,5,0
John Luessenhop,4,1,1
Mike Newell,79,12,14
David Barrett,46,4,0
Mark Romanek,76,20,11
Sylvester Stallone,9,65,59
Michael Bay,57,11,8
David Price,6,1,0
Sam Fell,9,13,3
George Fitzmaurice,83,1,1
Noel Clarke,4,2,4
Rob Minkoff,14,5,1
Diarmuid Lawrence,47,7,6
Rodman Flender,37,0,0
James Gunn,13,10,15
Michael Tolkin,4,15,11
Fritz Lang,47,3,5
Kiyoshi Kurosawa,49,30,23
Dan Rush,1,1,0
William Bindley,7,0,0
Adam Marcus,8,1,1
George Stevens,59,28,12
John Stockwell,20,2,1
Jon S. Baird,9,4,1
Fergal Reilly,1,0,0
Piers Haggard,55,3,3
Sam Weisman,1,0,0
Kim Henkel,1,0,0
Luke Matheny,13,2,6
Patrick Levis,1,0,0
George A. Romero,21,6,16
Craig Macneill,8,4,3
Joe Roth,6,4,2
Andy de Emmony,42,5,1
Igor Voloshin,10,8,5
Anthony Silverston,2,1,3
Ashwani Dhir,4,2,2
Tom Laughlin,8,1,1
David E. Talbert,16,1,1
Jonathan Kesselman,12,0,0
Reginald Hudlin,39,18,5
Christine Fugate,9,0,0
Tony Bancroft,7,2,2
David Gelb,13,10,4
Gleb Orlov,4,0,0
Svyatoslav Podgayevskiy,9,2,1
Guy Ritchie,19,10,8
David Nixon,4,0,0
Sanjay Gadhvi,6,1,0
Mark Mylod,32,8,3
Daniel Taplitz,7,3,1
Dean Parisot,39,6,7
Tom Gormican,1,0,0
Hugh Hudson,18,13,6
Luis Valdez,9,2,2
Niki Caro,14,13,22
Tarun Mansukhani,4,1,0
Eugene Forde,53,0,0
Brett Simon,8,0,0
Lucio Fulci,57,1,1
Ari Folman,6,35,36
Kieran Darcy-Smith,9,8,7
Hatsuki Tsuji,7,0,0
Martín Hodara,4,3,0
Martha Fiennes,4,2,2
Franklin J. Schaffner,34,5,8
Norman Mailer,4,2,4
Ron Krauss,13,4,13
Eric Summer,27,0,0
Mark Rydell,26,11,7
Liang Xuan,1,4,0
Gary Goddard,6,2,1
Shinji Aoyama,27,18,7
Victor Salva,13,6,2
Prachya Pinkaew,11,1,3
Scott Stewart,8,0,0
Maya Forbes,2,12,12
Reed Cowan,2,0,0
Glenn Ficarra,12,10,4
Sam Liu,27,2,1
Mark Herman,8,13,20
Juliet Lamont,3,2,1
Vincenzo Natali,27,15,14
Zacharias Kunuk,18,12,23
Ed Solomon,3,2,1
Menhaj Huda,24,1,2
Carlos Saura,49,46,54
Vic Sarin,40,29,9
Jericca Cleland,2,1,0
David Burton Morris,31,7,6
"""Thaddeus OSullivan""",26,5,7
Jason Winer,22,7,6
Tim Robbins,11,40,37
Michael Moore,22,32,47
Rouben Mamoulian,18,2,8
Peter H. Hunt,45,1,2
Oren Kaplan,26,1,6
Paul W.S. Anderson,17,2,2
Eric Till,73,10,5
Julio Médem,22,23,36
Daniele Luchetti,17,37,13
Andrey Zvyagintsev,8,62,69
Natalya Uglitskikh,5,0,0
Robinson Devor,6,8,7
Luca Miniero,18,15,12
Miguel Gomes,14,32,44
Doug Ellin,6,12,7
Christophe Gans,7,6,2
Robert C. Cooper,5,10,5
"""Enzo DAlò""",8,3,4
John Gorrie,56,1,1
Eli Roth,16,9,14
Eugene Jarecki,13,11,10
Jeremiah S. Chechik,38,2,3
Pan Nalin,15,4,10
Banjong Pisanthanakun,8,11,6
Anatole Litvak,42,12,5
Mel Brooks,12,31,24
Joseph L. Mankiewicz,22,28,21
Joel Zwick,58,1,3
Hype Williams,128,10,2
Penelope Spheeris,37,3,10
Fred Olen Ray,155,2,2
John Alexander,29,4,1
Robert Stevenhagen,1,2,0
Menno Meyjes,6,8,3
Olivier Assayas,30,59,28
Rúnar Rúnarsson,8,23,61
Dermot Mulroney,1,9,7
Irwin Allen,16,3,5
Chris Wedge,7,8,6
Marcus Dunstan,5,0,0
Fred Schepisi,18,26,17
Renat Davletyarov,5,2,0
S. Shankar,14,5,11
Stephen J. Anderson,7,5,0
Claire Denis,29,32,11
Peter Lepeniotis,7,2,2
Steve De Jarnatt,12,4,0
Frank Simon,5,1,1
Fred Wolf,9,2,0
Jim Wilson,6,5,6
Caspar Wrede,14,0,0
Roberts Gannaway,16,6,1
Rupert Wainwright,24,2,1
Masayuki Suo,11,7,38
Alfred Hitchcock,70,32,34
Neeraj Pandey,7,6,2
Jean-Luc Godard,127,47,40
Mary Lambert,73,5,2
Nicholas Jarecki,3,3,0
John Carpenter,32,19,16
Ralph Bakshi,65,3,3
Richard Shepard,30,5,3
Peyton Reed,25,3,2
Anthony Mann,42,7,2
Timo Tjahjanto,9,6,1
Paul Tibbitt,2,11,10
Stephen S. Campanelli,4,5,3
Eran Creevy,4,3,4
Len Wiseman,16,1,0
Lilly Wachowski,11,23,11
Garth Davis,7,13,18
Giorgio Ferroni,43,2,2
Nick Castle,13,3,4
Marco Schnabel,1,1,0
Val Guest,55,5,2
David Lowell Rich,111,2,1
Eric Styles,10,4,1
Mathieu Kassovitz,12,14,14
Robert Eggers,5,14,17
Jim Wynorski,103,1,0
Daniel Krige,11,2,5
Richard Donner,80,7,9
Lee Tamahori,13,3,11
Peter Hewitt,16,2,2
Jodie Foster,9,50,59
Daniel Schechter,6,0,0
Robert D. Webb,22,2,1
Craig Clyde,19,1,2
Kevin Donovan,7,0,0
Jason Reitman,18,70,67
Tim Miller,5,9,2
M. Night Shyamalan,16,39,16
D. Kerry Prior ,4,2,2
Gore Verbinski,12,13,9
Angela Robinson,11,4,8
Michael Addis,14,0,0
John Hamburg,12,1,0
John Woo,44,15,19
Baran bo Odar,6,7,5
Virginie Wagon,6,3,5
E. Elias Merhige,11,5,3
Ken Loach,53,80,100
Bill Condon,19,44,19
Joby Harold,1,1,0
Aki Kaurismäki,34,61,55
Chris Fisher,1,0,0
Frank Marshall,13,25,17
Ivan Reitman,22,12,8
Aleksey Andrianov,3,5,2
Aleksey Balabanov,18,37,20
David Leitch,8,8,3
Indra Kumar,17,0,0
Don Bluth,19,3,3
Arch Hall Sr.,1,0,0
Albert Dupontel,7,20,5
Phil Traill,42,2,4
Kunal Kohli,11,7,3
Tom Tykwer,21,57,37
Greg Coolidge,4,0,0
Kirk De Micco,3,8,1
Alfonso Cuarón,17,105,110
Robert Butler,5,1,1
Lina Wertmüller,32,18,13
Dave McKean,15,2,6
John Waters,18,5,5
Guy Green,25,8,6
Noam Murro,4,7,2
Leena Yadav,6,2,5
Alek Keshishian,19,1,1
Hugh Wilson,17,8,5
Shari Springer Berman,13,22,23
Christopher Crowe,7,1,0
Anthony Hemingway,44,12,3
John Wells,2,8,30
Ben Howling,4,0,0
Robert Aldrich,37,9,4
William Beaudine,372,1,1
Robert Heath,5,7,6
Bryan Foy,2,9,6
Roger Spottiswoode,33,7,8
Martin Rosen,3,4,0
Reza Bagher,5,2,4
Erik Van Looy,13,3,4
Yuriy Kara,12,1,1
Kanji Nakajima,3,2,2
B. Reeves Eason,159,0,0
Blair Hayes,9,0,0
Barney Elliott,3,3,3
Howard Zieff,9,1,1
Jehane Noujaim,10,22,28
Joe Wright,19,34,12
Jeff Woolnough,71,11,3
Elisabeta Bostan,25,2,2
Olga Subbotina,8,0,0
Benny Boom,58,4,0
Peter Pau,3,34,24
Josh Schwartz,2,1,0
Patricia Rozema,21,18,7
Malcolm Venville,7,1,2
Bernhard Wicki,14,6,19
Marilyn Agrelo,9,2,4
John Penney,3,0,0
Wayne Wang,23,10,17
Nick Gomez,67,5,3
Martin Brest,9,6,5
Terence Fisher,64,1,0
Dave Bullock,6,2,1
Tony Kaye,21,11,6
David Lister,30,0,0
Dennis Gansel,15,8,12
Kevin Macdonald,1,10,9
Sudha Kongara Prasad,1,0,0
Kim Tae-yong,1,0,0
Lijo Jose Pellissery,8,1,1
Henry Bromell,5,14,7
Ryûhei Kitamura,24,9,6
Andreas Kleinert,27,12,13
Yuri Mamin,10,3,0
Alfonso Gomez-Rejon,9,13,14
Ingmar Bergman,70,39,82
Liev Schreiber,2,38,20
Jon Hess,12,1,0
Joshua Overbay,10,2,1
Allen Hughes,13,9,7
Caytha Jentis,3,1,1
Arch Nicholson,14,0,0
James Kent,31,2,0
Seth Rogen,10,34,12
Howard Goldberg,3,4,2
Mark Pavia,4,0,0
Miranda July,7,17,25
Baltasar Kormákur,16,27,34
Todd Phillips,15,4,5
Stefano Mordini,10,11,0
Robert Sigl,24,2,1
Fletcher Markle,24,0,0
Alex Gibney,45,60,27
Andrew Morahan,123,4,3
Deran Sarafian,1,0,0
Neil Nightingale,2,3,2
Deniz Gamze Ergüven,5,33,36
Sujoy Ghosh,12,7,4
George Miller,18,56,71
Hal Needham,20,5,7
Gus Van Sant,50,62,43
Kirk Jones,4,0,0
Jean-Pierre Jeunet,16,30,46
Mark Robson,33,11,3
Karthik Subbaraj,7,1,1
David Ogden,2,1,1
Katsuhiro Ōtomo,14,3,6
Alexander Holt,4,1,1
Robert Redford,10,50,40
Craig Mazin,2,1,0
Bryan Bertino,3,3,0
Nicolás López,15,4,1
Asger Leth,6,10,9
Reshef Levy,2,5,0
Brian Taylor,6,1,1
Chu Yen-ping,65,0,0
Vladimir Bortko,20,4,4
Andy Warhol,99,0,0
Julian Schnabel,6,31,28
Peter Billingsley,5,6,2
Engin Orbey,6,0,0
Lisa Krueger,3,3,1
Peter Hedges,4,17,4
Tom Savini,8,1,4
John Boulting,13,3,1
Richard Kwietniowski,11,1,5
Martha Holmes,2,3,1
Jonathan Newman,12,1,1
Isabel Coixet,34,30,50
Aleksander Bach,1,0,0
Shane Carruth,3,29,6
Kevin Yagher,2,12,3
Elizabeth Wood,5,2,1
Lorene Scafaria,6,1,1
Vasanth,11,1,1
Richard Gabai,27,0,0
Daniel Lee,1,0,0
Daniel Junge,20,11,21
Doug McHenry,5,2,0
Nicholas Hytner,6,6,3
Mick Jackson,35,12,13
Jamie Travis,19,4,12
Francine McDougall,9,5,6
Joseph Zito,10,0,0
Fabrice Gobert,7,4,0
John Michael McDonagh,4,22,15
Alain Fresnot,6,6,4
Justin Kurzel,8,15,8
Dan Bradley,1,3,1
Hiromasa Yonebayashi,4,9,7
Roberto Andò,10,15,6
Karen Oganesyan,13,2,2
David Worth,26,0,0
Colin Trevorrow,7,9,7
Thomas Carter,49,13,6
Rodney Gibbons,17,1,0
"""Chris DArienzo""",2,1,0
"""Dinesh DSouza""",4,1,2
Jukka-Pekka Valkeapää,6,7,3
Eugene Abizov,1,0,0
Pau Freixas,14,7,3
Zion Myers,40,0,0
Don Siegel,50,1,2
John Patrick Shanley,2,23,5
Peter MacDonald,11,3,0
Tim Blake Nelson,8,12,6
Pang Ho-cheung,15,23,9
Joe Cross,1,0,0
John Stalberg,5,0,0
Mabrouk El Mechri,9,1,0
Trish Sie,8,2,1
Michael O. Sajbel,8,0,0
Edward Lachman,10,42,42
John Pieplow,2,0,0
Jim Mickle,7,20,5
Álex de la Iglesia,24,34,29
John Francis Daley,6,7,0
Ted Demme,18,5,2
Ron Clements,8,17,13
Barry Skolnick,2,0,0
James Kirkwood,80,0,0
Olatunde Osunsanmi,20,2,2
Wolfgang Becker,9,14,27
Dolph Lundgren,9,3,3
Sajid Nadiadwala,2,6,3
Frank Lloyd,135,5,3
Siddique,1,0,0
Ridley Scott,48,93,47
Joseph Pevney,92,2,3
Scott Mann,15,1,1
Steven R. Monroe,41,0,0
André Téchiné,31,33,11
Leonel Vieira,18,5,4
Jon Cassar,52,19,7
John Lafia,16,1,1
Pekka Karjalainen,12,3,3
Patrick Hughes,7,3,1
John H. Lee,7,1,1
Don Scardino,58,17,4
Lloyd Bacon,130,2,1
Sam Firstenberg,24,1,0
Alister Grierson,11,5,5
Jay DiPietro,2,1,0
Paolo Virzì,19,50,71
Xavier Giannoli,12,22,8
Viktor Sergeyev,3,1,0
Steven Zaillian,4,55,34
Michel Hazanavicius,14,74,50
Steven Hahn,4,0,0
Dawn Porter,9,9,5
Vondie Curtis-Hall,17,12,5
Isao Takahata,28,13,17
Harold S. Bucquet,28,0,0
Thomas Schlamme,61,29,18
Frank Borzage,107,3,6
Maggie Greenwald,17,8,4
Jennie Livingston,5,12,12
Craig Monahan,5,5,8
Richard Glatzer,5,4,8
Mike Clattenburg,23,9,2
Takashi Yamazaki,22,7,10
Roman Prygunov,7,3,0
Peter Yates,28,14,9
Jack Clayton,10,10,4
Brad Anderson,41,11,6
Mark Tarlov,2,0,0
Janusz Kamiński,7,72,38
Reinhard Klooss,5,2,4
Agustín Díaz Yanes,5,15,17
Cédric Klapisch,20,13,20
Robert Dornhelm,33,8,5
Heitor Dhalia,10,14,13
Will Canon,6,1,2
David Robert Mitchell,4,18,16
David Carson,48,2,0
Jean Negulesco,87,6,3
Max Allan Collins,5,1,0
Joseph Dorman,4,0,0
Frank Strecker,32,1,1
Andrzej Wajda,54,35,54
Josh Trank,5,2,1
Lori Silverbush,3,6,6
Andrea Molaioli,5,4,9
Fred M. Wilcox,11,0,0
Kim Han-min,4,4,5
Dan Fogelman,3,10,5
Mike Thurmeier,10,2,1
Emilio Estevez,13,11,4
Bryan Johnson,1,0,0
Óscar Aibar,9,7,3
Buzz Kulik,75,11,8
Ana Lily Amirpour,16,18,9
Nicholas Meyer,9,17,9
Akira Kurosawa,33,23,68
Kabir Khan,10,4,9
Hou Hsiao-hsien,21,45,56
